agid,active,posi.x,posi.y,size,view,mov,condition,spd.x,spd.y,interact_with
0,1,2.27505,0.571309,0.050017,0.005,0.175,0,0.000752,0.0006445,-1,
1,1,2.21297,0.494047,0.05,0.005,0.175,0,4.15007e-05,0.00044575,-1,
2,1,2.80709,0.531062,0.049983,0.005,0.175,0,0.001355,0.0011835,-1,
3,1,3.88659,0.458588,0.126483,0.145,0.0304348,1,-0.00423109,0.00370908,11,
4,1,1.77021,0.601816,0.170517,0.22,0.0225806,0,-0.00148145,-1.46131e-05,-1,
5,1,4.86416,0.453687,0.126517,0.145,0.0304348,0,-0.0016,-0.00155526,-1,
6,1,0.73071,0.828672,0.170483,0.22,0.0225806,2,0.000999355,0.000571,32,
7,1,3.87573,0.844823,0.1265,0.145,0.0304348,2,-0.00358974,0.00261613,33,
8,1,2.02881,0.741007,0.170466,0.22,0.0225806,1,-0.00388561,-0.00481819,45,
9,1,1.22507,0.718428,0.126483,0.145,0.0304348,0,0.000598696,0.00158722,-1,
10,1,2.78389,0.795789,0.170466,0.22,0.0225806,2,-0.00776768,-0.00344461,28,
11,1,3.91463,0.53912,0.126381,0.145,0.0304348,2,-0.00195996,0.00354713,3,
12,1,0.702859,0.609135,0.170517,0.22,0.0225806,0,0.00159368,0.0014609,-1,
13,1,1.16533,0.578345,0.126517,0.145,0.0304348,0,0.000360088,0.0015233,-1,
14,1,3.45351,0.210833,0.170483,0.22,0.0225806,1,0.00284161,-0.00230971,39,
15,1,2.84418,0.391132,0.1265,0.145,0.0304348,2,0.00206657,-0.00390087,17,
16,1,4.53804,0.91599,0.170466,0.22,0.0225806,2,-0.00153677,0.003707,38,
17,1,2.8026,0.417225,0.126517,0.145,0.0304348,1,0.0018173,-0.00436957,15,
18,1,1.14164,0.2381,0.1705,0.22,0.0225806,1,0.00241403,-0.00387694,27,
19,1,0.934199,0.696759,0.126466,0.145,0.0304348,0,0.0016,0.000950217,-1,
20,1,2.90892,0.42772,0.170534,0.22,0.0225806,1,-0.0041069,-0.00157787,15,
21,1,1.46966,0.620457,0.126483,0.145,0.0304348,0,0.000468739,-0.00158935,-1,
22,1,1.69398,0.169523,0.170534,0.22,0.0225806,0,-0.00151623,-0.00153361,-1,
23,1,4.73455,0.322992,0.126483,0.145,0.0304348,0,-0.00159574,-0.000464435,-1,
24,1,2.93845,0.201216,0.1705,0.22,0.0225806,1,-0.00169326,0.00171065,15,
25,1,2.74716,0.720769,0.1265,0.145,0.0304348,2,-0.00605261,-0.00447609,10,
26,1,3.55884,0.691751,0.1705,0.22,0.0225806,0,0.00118826,-0.0016,-1,
27,1,0.994052,0.135171,0.126483,0.145,0.0304348,0,-0.00133583,-0.00145726,-1,
28,1,2.84113,0.794056,0.1705,0.22,0.0225806,1,0.000869354,0.00603806,10,
29,1,1.3263,0.212748,0.126534,0.145,0.0304348,0,-0.00139548,-0.00143383,-1,
30,1,2.09159,0.32932,0.170483,0.22,0.0225806,1,-0.00568439,-0.00214139,35,
31,1,2.18468,0.458452,0.126483,0.145,0.0304348,1,0.000487913,-0.000679565,1,
32,1,0.824246,0.969183,0.1705,0.22,0.0225806,1,-0.00260845,-0.00232868,6,
33,1,3.91319,0.802723,0.126534,0.145,0.0304348,1,-0.00582678,0.003136,7,
34,1,0.1549,0.875687,0.170517,0.22,0.0225806,0,0.000814419,0.000836548,-1,
35,1,1.96896,0.364492,0.1265,0.145,0.0304348,2,-0.00149135,-0.00102904,30,
36,1,4.55635,0.542785,0.1705,0.22,0.0225806,0,0.000857097,0.00150042,-1,
37,1,3.91495,0.00301681,0.1265,0.145,0.0304348,0,-0.0016,-0.00111213,-1,
38,1,4.49648,0.808272,0.170517,0.22,0.0225806,1,-0.00457161,-0.00267326,16,
39,1,3.3941,0.0247593,0.126415,0.145,0.0304348,0,0.00141891,-0.00118022,-1,
40,1,1.99953,0.9872,0.170517,0.22,0.0225806,0,9.04839e-05,-0.0016,-1,
41,1,4.44951,0.0927808,0.126432,0.145,0.0304348,0,-0.0016,0.0016,-1,
42,1,5.17703,0.976987,0.1705,0.22,0.0225806,0,-0.0016,0.00044771,-1,
43,1,4.39143,0.924981,0.126466,0.145,0.0304348,2,-0.00209,0.00225404,16,
44,1,3.76726,0.0343206,0.170466,0.22,0.0225806,1,-0.000932195,-0.00560852,37,
45,1,2.09238,0.640878,0.1265,0.145,0.0304348,2,0.00114409,-0.00458261,8,
46,1,2.14242,0.0779621,0.170534,0.22,0.0225806,0,-0.00157471,0.000229581,-1,
