agid,active,posi.x,posi.y,size,view,mov,condition,spd.x,spd.y,interact_with
0,1,2.54955,0.43105,0.000966,0.01,0.2,0,0.0016,-0.001054,-1,
1,1,2.19414,0.445972,0.001017,0.01,0.2,0,0.00127,0.001474,-1,
2,1,2.19502,0.383974,0.000949,0.01,0.2,0,-0.000368,-0.0016,-1,
3,1,2.41094,0.271553,0.000932,0.01,0.2,0,0.000844,0.00057,-1,
4,1,2.49861,0.37537,0.001034,0.01,0.2,0,-0.000556,0.001298,-1,
5,1,2.72118,0.561265,0.000983,0.01,0.2,0,0.000802,-0.000262,-1,
6,1,2.68591,0.331936,0.001051,0.01,0.2,0,-0.00097,-0.00104,-1,
7,1,2.80372,0.37427,0.000966,0.01,0.2,0,0.001432,-0.001334,-1,
8,1,2.49805,0.479686,0.001017,0.01,0.2,0,0.000934,-0.001124,-1,
9,1,2.52608,0.523485,0.000932,0.01,0.2,0,0.000878,0.001376,-1,
10,1,2.76737,0.585689,0.001,0.01,0.2,0,0.00153,0.00013,-1,
11,1,2.47434,0.389148,0.000983,0.01,0.2,0,-0.0012,-0.000424,-1,
12,1,2.24348,0.43345,0.000732,0.01,0.5,0,0.00092,0.0016,-1,
13,1,2.19309,0.347828,0.000647,0.01,0.5,0,0.001565,0.000185,-1,
14,1,2.43633,0.382324,0.000817,0.01,0.5,0,0.00104,0.001285,-1,
15,1,2.27054,0.479624,0.000834,0.01,0.5,0,0.001145,0.000305,-1,
16,1,2.22041,0.37649,0.000766,0.01,0.5,0,0.001425,-0.0016,-1,
17,1,2.20267,0.515294,0.000698,0.01,0.5,0,-0.001355,-0.00153,-1,
18,1,2.39762,0.494183,0.000698,0.01,0.5,0,-0.00139,-0.00125,-1,
19,1,2.15168,0.504713,0.000664,0.01,0.5,0,0.00104,0.0016,-1,
20,1,2.02501,0.531464,0.000834,0.01,0.5,0,0.00148,0.001425,-1,
21,1,2.68193,0.407959,0.000766,0.01,0.5,0,-0.0016,0.000535,-1,
22,1,2.52791,0.48853,0.000817,0.01,0.5,0,-0.001285,0.00083,-1,
23,1,2.64234,0.447489,0.000766,0.01,0.5,0,0.00036,-0.000725,-1,
24,1,2.60074,0.449639,0.000766,0.01,0.5,0,0.001355,-0.000305,-1,
25,1,2.35468,0.580974,0.000698,0.01,0.5,0,-0.000325,-0.0016,-1,
26,1,2.79732,0.517462,0.000698,0.01,0.5,2,0.00447,0.003195,97,
27,1,2.4311,0.450124,0.000749,0.01,0.5,0,-0.001495,9.5e-05,-1,
28,1,2.13232,0.480679,0.000749,0.01,0.5,0,-0.0002,0.001565,-1,
